2020-10-17 17:06:42,510 - RegisterPage - INFO - 执行注册操作
2020-10-17 17:06:50,144 - BasePage - INFO - None 查找元素 ('name', 'username')
2020-10-17 17:06:50,371 - BasePage - INFO - None 查找元素 ('name', 'email')
2020-10-17 17:06:50,570 - BasePage - INFO - None 查找元素 ('name', 'password')
2020-10-17 17:06:50,699 - BasePage - INFO - None 查找元素 ('name', 'confirm_password')
2020-10-17 17:06:50,804 - BasePage - INFO - None 查找元素 ('name', 'extend_field1')
2020-10-17 17:06:50,935 - BasePage - INFO - None 查找元素 ('name', 'extend_field2')
2020-10-17 17:06:51,056 - BasePage - INFO - None 查找元素 ('name', 'extend_field3')
2020-10-17 17:06:51,182 - BasePage - INFO - None 查找元素 ('name', 'extend_field4')
2020-10-17 17:06:51,313 - BasePage - INFO - None 查找元素 ('name', 'extend_field5')
2020-10-17 17:06:51,438 - BasePage - INFO - None 查找元素 ('name', 'sel_question')
2020-10-17 17:06:51,549 - BasePage - INFO - None 查找元素 ('name', 'passwd_answer')
2020-10-17 17:06:51,683 - BasePage - INFO - None 查找元素 ('name', 'Submit')
2020-10-17 17:07:01,478 - BasePage - INFO - None 查找元素 ('name', 'username')
2020-10-17 17:07:01,684 - BasePage - INFO - None 查找元素 ('name', 'email')
2020-10-17 17:07:01,916 - BasePage - INFO - None 查找元素 ('name', 'password')
2020-10-17 17:07:02,133 - BasePage - INFO - None 查找元素 ('name', 'confirm_password')
2020-10-17 17:07:02,288 - BasePage - INFO - None 查找元素 ('name', 'extend_field1')
2020-10-17 17:07:02,617 - BasePage - INFO - None 查找元素 ('name', 'extend_field2')
2020-10-17 17:07:02,808 - BasePage - INFO - None 查找元素 ('name', 'extend_field3')
2020-10-17 17:07:02,960 - BasePage - INFO - None 查找元素 ('name', 'extend_field4')
2020-10-17 17:07:03,100 - BasePage - INFO - None 查找元素 ('name', 'extend_field5')
2020-10-17 17:07:03,211 - BasePage - INFO - None 查找元素 ('name', 'sel_question')
2020-10-17 17:07:03,322 - BasePage - INFO - None 查找元素 ('name', 'passwd_answer')
2020-10-17 17:07:03,451 - BasePage - INFO - None 查找元素 ('name', 'Submit')
2020-10-17 17:07:13,091 - BasePage - INFO - None 查找元素 ('name', 'username')
2020-10-17 17:07:13,308 - BasePage - INFO - None 查找元素 ('name', 'email')
2020-10-17 17:07:13,579 - BasePage - INFO - None 查找元素 ('name', 'password')
2020-10-17 17:07:13,755 - BasePage - INFO - None 查找元素 ('name', 'confirm_password')
2020-10-17 17:07:13,908 - BasePage - INFO - None 查找元素 ('name', 'extend_field1')
2020-10-17 17:07:14,263 - BasePage - INFO - None 查找元素 ('name', 'extend_field2')
2020-10-17 17:07:14,425 - BasePage - INFO - None 查找元素 ('name', 'extend_field3')
2020-10-17 17:07:14,576 - BasePage - INFO - None 查找元素 ('name', 'extend_field4')
2020-10-17 17:07:14,681 - BasePage - INFO - None 查找元素 ('name', 'extend_field5')
2020-10-17 17:07:14,789 - BasePage - INFO - None 查找元素 ('name', 'sel_question')
2020-10-17 17:07:14,900 - BasePage - INFO - None 查找元素 ('name', 'passwd_answer')
2020-10-17 17:07:15,047 - BasePage - INFO - None 查找元素 ('name', 'Submit')
